cm-1;%T
2483,00;98,72
2482,00;98,72
2481,00;98,73
2480,00;98,73
2479,00;98,74
2478,00;98,75
2477,00;98,76
2476,00;98,77
2475,00;98,77
2474,00;98,78
2473,00;98,78
2472,00;98,78
2471,00;98,78
2470,00;98,79
2469,00;98,80
2468,00;98,80
2467,00;98,81
2466,00;98,81
2465,00;98,82
2464,00;98,82
2463,00;98,83
2462,00;98,84
2461,00;98,85
2460,00;98,86
2459,00;98,87
2458,00;98,87
2457,00;98,87
2456,00;98,87
2455,00;98,88
2454,00;98,89
2453,00;98,89
2452,00;98,90
2451,00;98,90
2450,00;98,91
