cm-1;%T
2643,00;96,70
2642,00;96,70
2641,00;96,71
2640,00;96,71
2639,00;96,72
2638,00;96,72
2637,00;96,72
2636,00;96,73
2635,00;96,73
2634,00;96,74
2633,00;96,75
2632,00;96,75
2631,00;96,76
2630,00;96,77
2629,00;96,78
2628,00;96,78
2627,00;96,79
2626,00;96,79
2625,00;96,79
2624,00;96,79
2623,00;96,79
2622,00;96,80
2621,00;96,80
2620,00;96,81
2619,00;96,82
2618,00;96,82
2617,00;96,82
2616,00;96,83
2615,00;96,83
2614,00;96,84
2613,00;96,85
2612,00;96,85
2611,00;96,86
2610,00;96,86
2609,00;96,86
2608,00;96,86
2607,00;96,87
2606,00;96,87
2605,00;96,88
2604,00;96,88
2603,00;96,89
2602,00;96,89
2601,00;96,89
2600,00;96,89
2599,00;96,89
2598,00;96,89
2597,00;96,89
2596,00;96,90
2595,00;96,90
2594,00;96,91
2593,00;96,92
2592,00;96,92
2591,00;96,93
2590,00;96,94
2589,00;96,94
2588,00;96,94
2587,00;96,94
2586,00;96,94
2585,00;96,94
2584,00;96,94
2583,00;96,94
2582,00;96,95
2581,00;96,95
2580,00;96,96
2579,00;96,96
2578,00;96,96
2577,00;96,96
2576,00;96,96
2575,00;96,96
2574,00;96,97
2573,00;96,98
2572,00;96,99
2571,00;96,99
2570,00;97,00
2569,00;97,00
2568,00;97,00
2567,00;96,99
2566,00;96,99
2565,00;96,99
2564,00;97,00
2563,00;97,00
2562,00;97,00
2561,00;97,01
2560,00;97,01
2559,00;97,02
2558,00;97,02
2557,00;97,02
2556,00;97,02
2555,00;97,02
2554,00;97,03
2553,00;97,03
2552,00;97,03
2551,00;97,03
2550,00;97,03
2549,00;97,03
2548,00;97,04
2547,00;97,04
2546,00;97,05
2545,00;97,05
2544,00;97,05
2543,00;97,04
2542,00;97,04
2541,00;97,04
2540,00;97,04
2539,00;97,04
2538,00;97,05
2537,00;97,06
2536,00;97,07
2535,00;97,07
2534,00;97,07
2533,00;97,07
2532,00;97,07
2531,00;97,08
2530,00;97,08
2529,00;97,09
2528,00;97,10
2527,00;97,10
2526,00;97,11
2525,00;97,11
2524,00;97,10
2523,00;97,10
2522,00;97,10
2521,00;97,10
2520,00;97,10
2519,00;97,11
2518,00;97,11
2517,00;97,11
2516,00;97,11
2515,00;97,11
2514,00;97,11
2513,00;97,11
2512,00;97,11
2511,00;97,11
2510,00;97,11
2509,00;97,11
2508,00;97,11
2507,00;97,11
2506,00;97,12
2505,00;97,12
2504,00;97,12
2503,00;97,12
2502,00;97,13
2501,00;97,13
2500,00;97,13
2499,00;97,13
2498,00;97,14
2497,00;97,14
2496,00;97,15
2495,00;97,15
2494,00;97,16
2493,00;97,16
2492,00;97,17
2491,00;97,16
2490,00;97,16
2489,00;97,16
2488,00;97,16
2487,00;97,16
2486,00;97,17
2485,00;97,18
2484,00;97,18
2483,00;97,19
2482,00;97,19
2481,00;97,19
2480,00;97,19
2479,00;97,18
2478,00;97,18
2477,00;97,19
2476,00;97,19
2475,00;97,19
2474,00;97,19
2473,00;97,19
2472,00;97,20
2471,00;97,20
2470,00;97,20
2469,00;97,20
2468,00;97,20
2467,00;97,20
2466,00;97,20
2465,00;97,20
2464,00;97,20
2463,00;97,20
2462,00;97,20
2461,00;97,21
2460,00;97,21
2459,00;97,22
2458,00;97,22
2457,00;97,22
2456,00;97,22
2455,00;97,22
2454,00;97,22
2453,00;97,22
2452,00;97,22
2451,00;97,23
2450,00;97,23
